key	ru	de	es	fr	fi
Partial transcript	Частичная расшифровка	Teiltranskription	Transcripción parcial	Transcription partielle	Osittainen litterointi
Open transcript	Открыть расшифровку	Transkription öffnen	Abrir transcripción	Ouvrir la transcription	Avaa litterointi
Remove import	Убрать импорт	Import entfernen	Eliminar importación	Supprimer l’importation	Poista tuonti
Your original recording is unchanged. The imported copy is removed after completion; the transcript stays in Notes.	Исходная запись не меняется. После завершения импортированная копия удаляется, а расшифровка остаётся в заметках.	Die Originalaufnahme bleibt unverändert. Nach Abschluss wird die importierte Kopie entfernt; die Transkription bleibt in den Notizen.	La grabación original no cambia. Al terminar se elimina la copia importada; la transcripción permanece en Notas.	L’enregistrement original reste inchangé. La copie importée est supprimée à la fin ; la transcription reste dans les notes.	Alkuperäinen tallenne säilyy ennallaan. Tuotu kopio poistetaan valmistumisen jälkeen; litterointi jää muistiinpanoihin.
Processed on this iPhone. Pause at any time; completed text is saved.	Обработка на этом iPhone. Можно приостановить в любой момент — готовый текст сохранится.	Verarbeitung auf diesem iPhone. Jederzeit pausieren; fertiger Text wird gespeichert.	Se procesa en este iPhone. Puedes pausar cuando quieras; el texto terminado se guarda.	Traitement sur cet iPhone. Faites une pause à tout moment ; le texte terminé est enregistré.	Käsitellään tällä iPhonella. Voit keskeyttää milloin tahansa; valmis teksti tallennetaan.
Choose audio	Выбрать аудио	Audio auswählen	Elegir audio	Choisir un audio	Valitse ääni
Import another recording	Импортировать ещё запись	Weitere Aufnahme importieren	Importar otra grabación	Importer un autre enregistrement	Tuo toinen tallenne
Original recordings are unchanged. Imported audio is removed after a successful transcript, or when you remove the import.	Оригиналы записей не меняются. Копия аудио удаляется после успешной расшифровки или удаления импорта.	Originalaufnahmen bleiben unverändert. Importiertes Audio wird nach erfolgreicher Transkription oder beim Entfernen des Imports gelöscht.	Las grabaciones originales no cambian. El audio importado se elimina tras una transcripción correcta o al eliminar la importación.	Les originaux restent inchangés. L’audio importé est supprimé après une transcription réussie ou lors du retrait de l’importation.	Alkuperäisiä tallenteita ei muuteta. Tuotu ääni poistetaan onnistuneen litteroinnin jälkeen tai kun poistat tuonnin.
Audio recording	Аудиозапись	Audioaufnahme	Grabación de audio	Enregistrement audio	Äänitallenne
Could not receive the file	Не удалось получить файл	Datei konnte nicht empfangen werden	No se pudo recibir el archivo	Impossible de recevoir le fichier	Tiedostoa ei voitu vastaanottaa
File transfer	Передача файла	Dateiübertragung	Transferencia del archivo	Transfert du fichier	Tiedoston siirto
Transcription has not started. Choose the recording again or share it from Files.	Расшифровка не началась. Выберите запись снова или отправьте её из «Файлов».	Die Transkription wurde nicht gestartet. Wähle die Aufnahme erneut oder teile sie aus „Dateien“.	La transcripción no ha empezado. Elige la grabación otra vez o compártela desde Archivos.	La transcription n’a pas commencé. Sélectionnez à nouveau l’enregistrement ou partagez-le depuis Fichiers.	Litterointi ei ole alkanut. Valitse tallenne uudelleen tai jaa se Tiedostot-apista.
Retry import	Повторить импорт	Import wiederholen	Reintentar importación	Réessayer l’importation	Yritä tuontia uudelleen
Waiting	Ожидает	Wartet	En espera	En attente	Odottaa
Recognition	Распознавание	Erkennung	Reconocimiento	Reconnaissance	Tunnistus
No speech	Нет речи	Keine Sprache	Sin voz	Aucune parole	Ei puhetta
Language of the recording	Язык записи	Sprache der Aufnahme	Idioma de la grabación	Langue de l’enregistrement	Tallenteen kieli
The language is locked: the first section is saved.	Язык закреплён: первый фрагмент уже сохранён.	Die Sprache ist festgelegt: Der erste Abschnitt ist gespeichert.	El idioma está fijado: ya se ha guardado la primera sección.	La langue est verrouillée : la première section est enregistrée.	Kieli on lukittu: ensimmäinen osuus on tallennettu.
No text note was saved. Check the language of the recording or pick another file.	Текстовая заметка не создана. Проверьте язык записи или выберите другой файл.	Keine Textnotiz gespeichert. Prüfe die Sprache oder wähle eine andere Datei.	No se guardó ninguna nota de texto. Comprueba el idioma o elige otro archivo.	Aucune note de texte enregistrée. Vérifiez la langue ou choisissez un autre fichier.	Tekstimuistiinpanoa ei tallennettu. Tarkista kieli tai valitse toinen tiedosto.
Completed text is kept. Continue from the saved position.	Готовый текст сохранён. Можно продолжить с сохранённого места.	Fertiger Text bleibt erhalten. Setze an der gespeicherten Stelle fort.	El texto terminado se conserva. Continúa desde la posición guardada.	Le texte terminé est conservé. Reprenez à la position enregistrée.	Valmis teksti säilytetään. Jatka tallennetusta kohdasta.
Transcript	Расшифровка	Transkript	Transcripción	Transcription	Litterointi
Saved so far	Уже сохранено	Bisher gespeichert	Guardado hasta ahora	Déjà enregistré	Tähän mennessä tallennettu
Waiting for the current section to stop.	Ожидаем остановки текущего фрагмента.	Warten, bis der aktuelle Abschnitt stoppt.	Esperando a que se detenga la sección actual.	En attente de l’arrêt de la section en cours.	Odotetaan nykyisen osuuden pysähtymistä.
Open the full note after pausing. Completed text is already saved.	Полную заметку можно открыть после паузы. Готовый текст уже сохранён.	Öffne die vollständige Notiz nach dem Pausieren. Fertiger Text ist bereits gespeichert.	Abre la nota completa tras pausar. El texto terminado ya está guardado.	Ouvrez la note complète après une pause. Le texte terminé est déjà enregistré.	Avaa koko muistiinpano tauon jälkeen. Valmis teksti on jo tallennettu.
Choose another language and retry	Выбрать другой язык и повторить	Andere Sprache wählen und wiederholen	Elegir otro idioma y reintentar	Choisir une autre langue et réessayer	Valitse toinen kieli ja yritä uudelleen
Add to queue	Добавить в очередь	Zur Warteschlange hinzufügen	Añadir a la cola	Ajouter à la file d’attente	Lisää jonoon
Starts after the current file. One recording is processed at a time.	Начнётся после текущего файла. Записи обрабатываются по одной.	Startet nach der aktuellen Datei. Aufnahmen werden einzeln verarbeitet.	Empezará después del archivo actual. Se procesa una grabación a la vez.	Démarre après le fichier en cours. Un seul enregistrement est traité à la fois.	Alkaa nykyisen tiedoston jälkeen. Tallenteet käsitellään yksi kerrallaan.
Only the import and its audio copy are removed. Original recordings and saved notes stay.	Удалятся только импорт и копия аудио. Оригинал и сохранённые заметки останутся.	Nur der Import und seine Audiokopie werden entfernt. Originale und gespeicherte Notizen bleiben erhalten.	Solo se eliminan la importación y su copia de audio. Los originales y las notas guardadas se conservan.	Seuls l’importation et sa copie audio sont supprimées. Les originaux et les notes enregistrées sont conservés.	Vain tuonti ja sen äänikopio poistetaan. Alkuperäiset tallenteet ja muistiinpanot säilyvät.
File received	Файл получен	Datei empfangen	Archivo recibido	Fichier reçu	Tiedosto vastaanotettu
Could not transcribe this recording	Не удалось расшифровать запись	Aufnahme konnte nicht transkribiert werden	No se pudo transcribir esta grabación	Impossible de transcrire cet enregistrement	Tallennetta ei voitu litteroida
of	из	von	de	sur	/
Saved sections:	Сохранено фрагментов:	Gespeicherte Abschnitte:	Secciones guardadas:	Sections enregistrées :	Tallennetut osuudet:
On device	На устройстве	Auf dem Gerät	En el dispositivo	Sur l’appareil	Laitteella
Downloaded language packs	Загруженные языковые пакеты	Heruntergeladene Sprachpakete	Paquetes de idiomas descargados	Packs de langues téléchargés	Ladatut kielipaketit
Unloading models does not remove downloaded language packs or notes.	Выгрузка моделей не удаляет языковые пакеты и заметки.	Beim Entladen bleiben Sprachpakete und Notizen erhalten.	Descargar los modelos de la memoria no elimina los paquetes de idiomas ni las notas.	Libérer les modèles de la mémoire ne supprime ni les packs de langues ni les notes.	Mallien poistaminen muistista ei poista kielipaketteja tai muistiinpanoja.
In memory	В оперативной памяти	Im Arbeitsspeicher	En memoria	En mémoire	Muistissa
Models are held by Murmator for the current work.	Murmator держит модели в памяти для текущей работы.	Murmator hält Modelle für die aktuelle Aufgabe im Speicher.	Murmator mantiene los modelos en memoria para la tarea actual.	Murmator conserve les modèles en mémoire pour le travail en cours.	Murmator pitää mallit muistissa nykyistä tehtävää varten.
The next session will load the selected models from the device.	В следующей сессии выбранные модели загрузятся с устройства.	Die nächste Sitzung lädt die gewählten Modelle vom Gerät.	La próxima sesión cargará los modelos seleccionados desde el dispositivo.	La prochaine session chargera les modèles sélectionnés depuis l’appareil.	Seuraava istunto lataa valitut mallit laitteelta.
Loaded	Загружены	Geladen	Cargados	Chargés	Ladattu
Unloaded	Выгружены	Entladen	Fuera de memoria	Libérés	Poistettu muistista
Unloading is unavailable right now	Сейчас выгрузить нельзя	Entladen derzeit nicht möglich	No se pueden liberar ahora	Libération indisponible pour le moment	Muistia ei voi vapauttaa juuri nyt
Open the import and pause it	Открыть импорт и приостановить	Import öffnen und pausieren	Abrir la importación y pausarla	Ouvrir l’importation et la suspendre	Avaa tuonti ja keskeytä se
The app does not report how much free memory the phone has.	Приложение не показывает объём свободной памяти телефона.	Die App zeigt keinen freien Arbeitsspeicher des Telefons an.	La app no indica cuánta memoria libre tiene el teléfono.	L’app n’indique pas la quantité de mémoire libre du téléphone.	Appi ei näytä puhelimen vapaan muistin määrää.
Start a dictation session, then return to your app.	Запустите сессию диктовки и вернитесь в своё приложение.	Starte eine Diktiersitzung und kehre dann zu deiner App zurück.	Inicia una sesión de dictado y vuelve a tu app.	Démarrez une session de dictée, puis revenez dans votre app.	Aloita saneluistunto ja palaa sitten appiisi.
Keyboard setup instructions	Как настроить клавиатуру	Anleitung zur Tastatureinrichtung	Cómo configurar el teclado	Configurer le clavier	Näppäimistön käyttöönotto
Full Access	Полный доступ	Voller Zugriff	Acceso total	Accès complet	Täysi käyttöoikeus
Confirmed	Подтверждён	Bestätigt	Confirmado	Confirmé	Vahvistettu
Check in keyboard	Проверить в клавиатуре	In Tastatur prüfen	Comprobar en el teclado	Vérifier dans le clavier	Tarkista näppäimistössä
Full Access is checked by the keyboard, not by microphone permission.	Полный доступ проверяется в клавиатуре отдельно от разрешения микрофона.	Die Tastatur prüft den vollen Zugriff unabhängig von der Mikrofonberechtigung.	El teclado comprueba el acceso total por separado del permiso del micrófono.	Le clavier vérifie l’accès complet séparément de l’autorisation du microphone.	Näppäimistö tarkistaa täyden käyttöoikeuden erillään mikrofoniluvasta.
Microphone	Микрофон	Mikrofon	Micrófono	Microphone	Mikrofoni
Allowed	Разрешён	Erlaubt	Permitido	Autorisé	Sallittu
Not allowed	Не разрешён	Nicht erlaubt	No permitido	Non autorisé	Ei sallittu
A system permission. It does not mean models are ready.	Системное разрешение. Оно не означает готовность моделей.	Eine Systemberechtigung. Sie bedeutet nicht, dass Modelle bereit sind.	Un permiso del sistema. No significa que los modelos estén listos.	Une autorisation système. Elle ne signifie pas que les modèles sont prêts.	Järjestelmän lupa. Se ei tarkoita, että mallit ovat valmiina.
Models in memory	Модели в памяти	Modelle im Speicher	Modelos en memoria	Modèles en mémoire	Mallit muistissa
Loading models	Загрузка моделей	Modelle laden	Cargando modelos	Chargement des modèles	Ladataan malleja
Speech and translation must finish preparing before dictation starts.	Подготовка речи и перевода должна завершиться до начала диктовки.	Sprache und Übersetzung müssen vor dem Diktieren fertig vorbereitet sein.	La preparación de voz y traducción debe terminar antes de dictar.	La préparation de la parole et de la traduction doit être terminée avant de dicter.	Puheen ja käännöksen valmistelun on päätyttävä ennen sanelua.
Session	Сессия	Sitzung	Sesión	Session	Istunto
Preparing…	Подготовка…	Vorbereitung…	Preparando…	Préparation…	Valmistellaan…
Inactive	Неактивна	Inaktiv	Inactiva	Inactive	Ei aktiivinen
Return to your app manually when the session is ready.	Когда сессия готова, вернитесь в своё приложение.	Kehre zu deiner App zurück, sobald die Sitzung bereit ist.	Vuelve a tu app cuando la sesión esté lista.	Revenez dans votre app lorsque la session est prête.	Palaa appiisi, kun istunto on valmis.
Language and mode	Язык и режим	Sprache und Modus	Idioma y modo	Langue et mode	Kieli ja tila
From Voice Memos, Files or the system share sheet	Из «Диктофона», «Файлов» или меню «Поделиться»	Aus Sprachmemos, Dateien oder dem Teilen-Menü	Desde Notas de Voz, Archivos o el menú Compartir	Depuis Dictaphone, Fichiers ou le menu de partage	Sanelimesta, Tiedostoista tai jakovalikosta
Open	Открыть	Öffnen	Abrir	Ouvrir	Avaa
Tools	Инструменты	Werkzeuge	Herramientas	Outils	Työkalut
Dictate in other apps	Диктовка в других приложениях	In anderen Apps diktieren	Dictar en otras apps	Dicter dans d’autres apps	Sanele muissa apeissa
Recordings, progress and saved transcripts	Записи, обработка и готовый текст	Aufnahmen, Fortschritt und Transkripte	Grabaciones, progreso y transcripciones	Enregistrements, progression et transcriptions	Tallenteet, edistyminen ja litteroinnit
Device	Устройство	Gerät	Dispositivo	Appareil	Laite
Downloaded packs and loaded models	Языковые пакеты и модели в памяти	Sprachpakete und geladene Modelle	Paquetes descargados y modelos en memoria	Packs téléchargés et modèles en mémoire	Ladatut paketit ja muistissa olevat mallit
Completed text is saved. Finish transcription before editing this note.	Готовый текст сохранён. Завершите расшифровку перед редактированием заметки.	Fertiger Text ist gespeichert. Beende die Transkription vor dem Bearbeiten.	El texto terminado está guardado. Termina la transcripción antes de editar la nota.	Le texte terminé est enregistré. Terminez la transcription avant de modifier cette note.	Valmis teksti on tallennettu. Viimeistele litterointi ennen muistiinpanon muokkaamista.
Activate in Murmator	Активировать в Murmator	In Murmator aktivieren	Activar en Murmator	Activer dans Murmator	Aktivoi Murmatorissa
Activation needed	Нужна активация	Aktivierung erforderlich	Se requiere activación	Activation nécessaire	Aktivointi tarvitaan
Result	Результат	Ergebnis	Resultado	Résultat	Tulos
Mic on	Микр. вкл.	Mikro an	Micro activo	Micro actif	Mikr. päällä
Mic off	Микр. выкл.	Mikro aus	Micro inactivo	Micro coupé	Mikr. pois
Full Access needed	Нужен полный доступ	Voller Zugriff nötig	Se necesita acceso total	Accès complet requis	Täysi käyttöoikeus tarvitaan
Result ready	Результат готов	Ergebnis bereit	Resultado listo	Résultat prêt	Tulos valmis
Recording	Запись	Aufnahme	Grabando	Enregistrement	Tallennus
Choose what to insert into the current field.	Выберите текст для вставки в текущее поле.	Wähle den Text für das aktuelle Feld.	Elige qué insertar en el campo actual.	Choisissez quoi insérer dans le champ actuel.	Valitse nykyiseen kenttään lisättävä teksti.
Unload in Murmator	Выгрузить в Murmator	In Murmator entladen	Liberar en Murmator	Libérer dans Murmator	Vapauta Murmatorissa
Translation mode	Режим перевода	Übersetzungsmodus	Modo de traducción	Mode de traduction	Käännöstila
Text	Текст	Text	Texto	Texte	Teksti
Voice	Голос	Sprache	Voz	Voix	Puhe
From language	С языка	Ausgangssprache	Idioma de origen	Langue source	Lähtökieli
Swap languages	Поменять языки местами	Sprachen tauschen	Intercambiar idiomas	Inverser les langues	Vaihda kielet keskenään
Text to translate	Текст для перевода	Zu übersetzender Text	Texto para traducir	Texte à traduire	Käännettävä teksti
Clear	Очистить	Leeren	Borrar	Effacer	Tyhjennä
Type or paste text here	Введите или вставьте текст	Text eingeben oder einfügen	Escribe o pega texto aquí	Saisissez ou collez du texte ici	Kirjoita tai liitä teksti tähän
Translate up to 10,000 characters at a time.	За один раз можно перевести до 10 000 символов.	Bis zu 10.000 Zeichen auf einmal übersetzen.	Traduce hasta 10.000 caracteres a la vez.	Traduisez jusqu’à 10 000 caractères à la fois.	Käännä enintään 10 000 merkkiä kerrallaan.
Cancelling…	Отмена…	Wird abgebrochen…	Cancelando…	Annulation…	Peruutetaan…
Translating text…	Переводим текст…	Text wird übersetzt…	Traduciendo texto…	Traduction du texte…	Käännetään tekstiä…
Translate text	Перевести текст	Text übersetzen	Traducir texto	Traduire le texte	Käännä teksti
Could not translate. Your text is kept.	Не удалось перевести. Исходный текст сохранён.	Übersetzung fehlgeschlagen. Dein Text bleibt erhalten.	No se pudo traducir. Tu texto se conserva.	Traduction impossible. Votre texte est conservé.	Kääntäminen epäonnistui. Tekstisi säilytetään.
Translation	Перевод	Übersetzung	Traducción	Traduction	Käännös
Copy translation	Скопировать перевод	Übersetzung kopieren	Copiar traducción	Copier la traduction	Kopioi käännös
Text is translated on this iPhone. Language packs may need a one-time download.	Текст переводится на этом iPhone. Языковые пакеты может потребоваться скачать один раз.	Der Text wird auf diesem iPhone übersetzt. Sprachpakete müssen eventuell einmal heruntergeladen werden.	El texto se traduce en este iPhone. Puede ser necesario descargar los paquetes de idiomas una vez.	Le texte est traduit sur cet iPhone. Un téléchargement initial des packs de langues peut être nécessaire.	Teksti käännetään tällä iPhonella. Kielipaketit on ehkä ladattava kerran.
Text is not saved as a note automatically.	Текст не сохраняется в заметки автоматически.	Text wird nicht automatisch als Notiz gespeichert.	El texto no se guarda como nota automáticamente.	Le texte n’est pas enregistré automatiquement comme note.	Tekstiä ei tallenneta automaattisesti muistiinpanoksi.
Hide keyboard	Скрыть клавиатуру	Tastatur ausblenden	Ocultar teclado	Masquer le clavier	Piilota näppäimistö
Storage	Хранилище	Speicherplatz	Almacenamiento	Stockage	Tallennustila
Refresh	Обновить	Aktualisieren	Actualizar	Actualiser	Päivitä
Manage storage	Управлять хранилищем	Speicherplatz verwalten	Gestionar almacenamiento	Gérer le stockage	Hallitse tallennustilaa
Downloaded models and disk space	Скачанные модели и место на устройстве	Heruntergeladene Modelle und Speicherplatz	Modelos descargados y espacio disponible	Modèles téléchargés et espace disque	Ladatut mallit ja tallennustila
Downloaded model files	Скачанные файлы моделей	Heruntergeladene Modelldateien	Archivos de modelos descargados	Fichiers de modèles téléchargés	Ladatut mallitiedostot
Available on this iPhone	Доступно на iPhone	Auf diesem iPhone verfügbar	Disponible en este iPhone	Disponible sur cet iPhone	Käytettävissä tällä iPhonella
File sizes are shown. The space reclaimed by the system may differ.	Показаны размеры файлов. Объём освобождённого места может отличаться.	Angezeigt werden Dateigrößen. Der tatsächlich freigegebene Speicherplatz kann abweichen.	Se muestran tamaños de archivo. El espacio liberado por el sistema puede variar.	Les tailles des fichiers sont affichées. L’espace réellement libéré peut varier.	Näytetään tiedostojen koot. Järjestelmän vapauttama tila voi poiketa niistä.
Storage information unavailable	Не удалось определить объём файлов	Speicherinformationen nicht verfügbar	Información de almacenamiento no disponible	Informations de stockage indisponibles	Tallennustilan tietoja ei ole saatavilla
Calculating storage…	Подсчитываем размер…	Speicherplatz wird berechnet…	Calculando almacenamiento…	Calcul du stockage…	Lasketaan tallennustilaa…
Finish dictation, translation or model preparation before deleting downloads.	Завершите диктовку, перевод или подготовку моделей перед удалением файлов.	Beende Diktat, Übersetzung oder Modellvorbereitung vor dem Löschen.	Termina el dictado, la traducción o la preparación de modelos antes de eliminar archivos.	Terminez la dictée, la traduction ou la préparation des modèles avant de supprimer les fichiers.	Lopeta sanelu, käännös tai mallien valmistelu ennen tiedostojen poistamista.
Deleting download…	Удаляем файлы…	Dateien werden gelöscht…	Eliminando archivos…	Suppression des fichiers…	Poistetaan tiedostoja…
No downloaded model files	Нет скачанных моделей	Keine heruntergeladenen Modelldateien	No hay modelos descargados	Aucun modèle téléchargé	Ei ladattuja mallitiedostoja
Speech recognition	Распознавание речи	Spracherkennung	Reconocimiento de voz	Reconnaissance vocale	Puheentunnistus
Unfinished downloads	Незавершённые загрузки	Unvollständige Downloads	Descargas incompletas	Téléchargements incomplets	Keskeneräiset lataukset
Deleting a download keeps your notes, original recordings and selected languages.	Удаление файлов моделей не удаляет заметки, исходные записи и выбранные языки.	Notizen, Originalaufnahmen und gewählte Sprachen bleiben beim Löschen erhalten.	Al eliminar los modelos se conservan las notas, grabaciones originales e idiomas seleccionados.	La suppression des modèles conserve les notes, les enregistrements originaux et les langues sélectionnées.	Mallien poistaminen säilyttää muistiinpanot, alkuperäiset tallenteet ja valitut kielet.
Delete downloaded model?	Удалить скачанную модель?	Heruntergeladenes Modell löschen?	¿Eliminar el modelo descargado?	Supprimer le modèle téléchargé ?	Poistetaanko ladattu malli?
Delete download	Удалить файлы	Download löschen	Eliminar descarga	Supprimer le téléchargement	Poista lataus
The files will be downloaded again when you prepare this language or use it next time.	Файлы можно скачать снова при подготовке языка или следующем использовании.	Die Dateien können bei der Sprachvorbereitung oder nächsten Verwendung erneut geladen werden.	Los archivos se podrán descargar de nuevo al preparar el idioma o volver a usarlo.	Les fichiers pourront être téléchargés à nouveau lors de la préparation de la langue ou de sa prochaine utilisation.	Tiedostot voidaan ladata uudelleen kielen valmistelun tai seuraavan käyttökerran yhteydessä.
This pack was imported. You may need the original model folder to restore it.	Этот пакет был импортирован. Для восстановления может понадобиться исходная папка модели.	Dieses Paket wurde importiert. Zum Wiederherstellen wird möglicherweise der ursprüngliche Modellordner benötigt.	Este paquete se importó. Es posible que necesites la carpeta original para recuperarlo.	Ce pack a été importé. Le dossier d’origine peut être nécessaire pour le restaurer.	Tämä paketti on tuotu. Palauttamiseen saatetaan tarvita alkuperäinen mallikansio.
Shared components may be needed by more than one language or mode. Notes and original recordings stay.	Общие компоненты могут использоваться несколькими языками и режимами. Заметки и исходные записи останутся.	Gemeinsame Komponenten können von mehreren Sprachen und Modi benötigt werden. Notizen und Originalaufnahmen bleiben erhalten.	Varios idiomas o modos pueden necesitar los componentes compartidos. Las notas y grabaciones originales se conservan.	Des composants peuvent être partagés entre plusieurs langues ou modes. Les notes et les originaux sont conservés.	Useat kielet tai tilat voivat tarvita yhteisiä osia. Muistiinpanot ja alkuperäiset tallenteet säilyvät.
Text and final voice translation	Текстовый и итоговый голосовой перевод	Text- und endgültige Sprachübersetzung	Traducción de texto y resultado de voz	Traduction de texte et résultat vocal final	Tekstin ja puheen lopullinen käännös
Live voice translation preview	Черновик голосового перевода	Live-Vorschau der Sprachübersetzung	Vista previa de traducción de voz	Aperçu de traduction vocale	Puhekäännöksen reaaliaikainen esikatselu
Live translation preview	Перевод в реальном времени	Live-Übersetzungsvorschau	Vista previa en tiempo real	Aperçu de traduction en direct	Reaaliaikainen käännösesikatselu
A direction may also be used by translations through an intermediate language.	Это направление может использоваться и для перевода через промежуточный язык.	Diese Richtung kann auch für Übersetzungen über eine Zwischensprache verwendet werden.	Esta dirección también puede usarse para traducir a través de un idioma intermedio.	Cette direction peut aussi servir aux traductions passant par une langue intermédiaire.	Tätä käännössuuntaa voidaan käyttää myös välikielen kautta kääntämiseen.
Unfinished model download	Незавершённая загрузка модели	Unvollständiger Modelldownload	Descarga de modelo incompleta	Téléchargement de modèle incomplet	Keskeneräinen mallin lataus
Temporary files from a model download.	Временные файлы загрузки модели.	Temporäre Dateien eines Modelldownloads.	Archivos temporales de la descarga de un modelo.	Fichiers temporaires d’un téléchargement de modèle.	Mallin latauksen väliaikaiset tiedostot.
Imported speech pack	Импортированный пакет речи	Importiertes Sprachpaket	Paquete de voz importado	Pack vocal importé	Tuotu puhepaketti
Russian speech recognition	Распознавание русской речи	Russische Spracherkennung	Reconocimiento de voz en ruso	Reconnaissance vocale russe	Venäjän puheentunnistus
Used for Russian dictation and audio imports.	Для диктовки и расшифровки записей на русском.	Für russische Diktate und importierte Aufnahmen.	Para dictado y grabaciones importadas en ruso.	Pour la dictée et les enregistrements importés en russe.	Venäjän saneluun ja tuotuihin tallenteisiin.
Multilingual speech recognition	Распознавание на нескольких языках	Mehrsprachige Spracherkennung	Reconocimiento de voz multilingüe	Reconnaissance vocale multilingue	Monikielinen puheentunnistus
Shared by several dictation languages and keyboard sessions.	Общий пакет для нескольких языков диктовки и клавиатуры.	Gemeinsames Paket für mehrere Diktiersprachen und Tastatursitzungen.	Paquete compartido por varios idiomas de dictado y sesiones del teclado.	Pack partagé par plusieurs langues de dictée et sessions du clavier.	Useiden sanelukielten ja näppäimistöistuntojen yhteinen paketti.
Live dictation	Диктовка в реальном времени	Live-Diktat	Dictado en tiempo real	Dictée en direct	Reaaliaikainen sanelu
Speech detection for live dictation	Определение речи при диктовке	Spracherkennung für Live-Diktat	Detección de voz para dictado	Détection de parole pour la dictée	Puheen havaitseminen sanelussa
A shared component. Deleting it affects every mode that uses it.	Общий компонент. Удаление затронет все использующие его режимы.	Gemeinsame Komponente. Das Löschen betrifft alle Modi, die sie verwenden.	Componente compartido. Al eliminarlo se afectan todos los modos que lo utilizan.	Composant partagé. Sa suppression affecte tous les modes qui l’utilisent.	Yhteinen osa. Poistaminen vaikuttaa kaikkiin sitä käyttäviin tiloihin.
Downloaded source files for this shared component.	Скачанные исходные файлы общего компонента.	Heruntergeladene Quelldateien dieser gemeinsamen Komponente.	Archivos de origen descargados del componente compartido.	Fichiers sources téléchargés de ce composant partagé.	Tämän yhteisen osan ladatut lähdetiedostot.
Arabic speech recognition	Распознавание арабской речи	Arabische Spracherkennung	Reconocimiento de voz en árabe	Reconnaissance vocale arabe	Arabian puheentunnistus
Additional speech recognition	Дополнительный пакет распознавания	Zusätzliche Spracherkennung	Reconocimiento de voz adicional	Reconnaissance vocale supplémentaire	Lisäpaketti puheentunnistukseen
Speech detection for recordings	Определение речи в записях	Spracherkennung in Aufnahmen	Detección de voz en grabaciones	Détection de parole dans les enregistrements	Puheen havaitseminen tallenteissa
Used by audio imports and keyboard dictation.	Для импорта аудио и диктовки с клавиатуры.	Für Audioimporte und Tastaturdiktate.	Para importaciones de audio y dictado con teclado.	Pour l’importation audio et la dictée au clavier.	Äänen tuontiin ja näppäimistösaneluun.
Download removed. The language can be prepared again when needed.	Файлы удалены. При необходимости язык можно подготовить снова.	Download gelöscht. Die Sprache kann bei Bedarf erneut vorbereitet werden.	Descarga eliminada. Puedes preparar el idioma de nuevo cuando lo necesites.	Téléchargement supprimé. Vous pourrez préparer la langue à nouveau si nécessaire.	Lataus poistettu. Kielen voi valmistella uudelleen tarvittaessa.
Remove from list	Убрать из списка	Aus Liste entfernen	Quitar de la lista	Retirer de la liste	Poista luettelosta
Removing a language from this list does not delete downloaded files.	Удаление языка из списка не удаляет скачанные файлы.	Das Entfernen einer Sprache aus der Liste löscht keine heruntergeladenen Dateien.	Quitar un idioma de la lista no elimina sus archivos descargados.	Retirer une langue de cette liste ne supprime pas ses fichiers téléchargés.	Kielen poistaminen luettelosta ei poista ladattuja tiedostoja.
Imported files removed. You may need the original model folder to restore this pack.	Импортированные файлы удалены. Для восстановления может понадобиться исходная папка модели.	Importierte Dateien gelöscht. Zur Wiederherstellung wird möglicherweise der ursprüngliche Modellordner benötigt.	Archivos importados eliminados. Es posible que necesites la carpeta original para restaurarlos.	Fichiers importés supprimés. Le dossier d’origine peut être nécessaire pour restaurer ce pack.	Tuodut tiedostot poistettu. Palauttamiseen saatetaan tarvita alkuperäinen mallikansio.
Remove this import?	Удалить этот импорт?	Diesen Import entfernen?	¿Eliminar esta importación?	Supprimer cette importation ?	Poistetaanko tämä tuonti?
Switching tabs is unavailable while a translation runs	Во время перевода переключение вкладок недоступно	Während der Übersetzung können Tabs nicht gewechselt werden	No se puede cambiar de pestaña durante una traducción	Impossible de changer d’onglet pendant la traduction	Välilehteä ei voi vaihtaa käännöksen aikana
Up to 10,000 characters at a time	До 10 000 символов за один раз	Bis zu 10.000 Zeichen auf einmal	Hasta 10.000 caracteres a la vez	Jusqu’à 10 000 caractères à la fois	Enintään 10 000 merkkiä kerrallaan
Over 10,000 characters	Больше 10 000 символов	Mehr als 10.000 Zeichen	Más de 10.000 caracteres	Plus de 10 000 caractères	Yli 10 000 merkkiä
The text is not trimmed automatically. Shorten it to start the translation.	Текст не обрезается автоматически. Сократите его, чтобы начать перевод.	Der Text wird nicht automatisch gekürzt. Kürze ihn, um die Übersetzung zu starten.	El texto no se recorta automáticamente. Acórtalo para iniciar la traducción.	Le texte n’est pas tronqué automatiquement. Raccourcissez-le pour lancer la traduction.	Tekstiä ei lyhennetä automaattisesti. Lyhennä sitä aloittaaksesi käännöksen.
